# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 19 08:48:12 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and decstr in [+37, +73])
# CONSTRAINT:  order by disc_year desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TOI-4495.01,TOI-4495,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,5.18300430,0.061733,3.630,0.324,,,,,346.63,1383,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,6156.00,1.34,1.17,,,4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m27.00s,286.3624951,+37d01m33.56s,37.0259902,132.2140000,9.5310000,8.2170000,9.3859000,2024-06-11,2024-05,2024-06-13
TOI-1410.01,TOI-1410,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,1.21683500,0.019944,2.944,0.262,,,,,565.54,1396,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,4634.60,0.78,0.72,,,4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h19m31.88s,334.8828486,+42d33m37.13s,42.5603141,72.7512000,11.1110000,8.5770000,10.8746000,2024-06-11,2024-05,2024-06-13
TOI-1798.02,TOI-1798,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,0.43781090,0.010740,1.408,0.125,,,,,3575.67,2122,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,5165.20,0.78,0.86,,,4.59,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h04m22.54s,211.0939367,+46d31m09.42s,46.5192825,113.1810000,11.3610000,9.2370010,11.0670000,2024-06-11,2024-05,2024-06-13
HD 77946 b,HD 77946,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PALETHORPE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.tmp..733P/abstract target=ref>Palethorpe et al. 2024</a>,6.52728200,0.072000,2.705,0.241,8.38000,0.02637,Mass,0.233000,,,0,<a refstr=PALETHORPE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.tmp..733P/abstract target=ref>Palethorpe et al. 2024</a>,F5,6046.00,1.31,1.17,0.180,[M/H],4.30,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h07m06.63s,136.7776440,+46d40m20.73s,46.6724251,99.4510000,8.9900000,7.6220000,8.8518400,2024-03-25,2024-03,2024-03-25
TOI-1467 b,TOI-1467,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,5.97114300,0.051000,1.833,0.164,,,,,16.27,559,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3810.00,0.47,0.50,-0.100,[Fe/H],4.79,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h16m27.51s,19.1146441,+49d13m59.30s,49.2331382,37.4418000,12.2930000,8.5680000,11.5622000,2024-04-15,2023-11,2024-04-15
TOI-6008 b,TOI-6008,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARKAOUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240506350B/abstract target=ref>Barkaoui et al. 2024</a>,0.85743470,0.010777,1.030,0.092,4.00000,0.01259,Mass,,41.50,707,0,<a refstr=BARKAOUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240506350B/abstract target=ref>Barkaoui et al. 2024</a>,M5.0,3075.00,0.24,0.23,0.300,[Fe/H],5.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h41m47.70s,310.4487344,+49d38m48.84s,49.6468992,23.1008000,15.9700000,9.5410000,13.7122000,2024-05-28,2024-05,2024-05-28
G 196-3 b,G 196-3,1,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Published Confirmed,0,<a refstr=MICHEL__AMP__MUGRAUER_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3183M/abstract target=ref>Michel &amp; Mugrauer 2024</a>,,350.000000,,,8263.53858,26.00000,Mass,,,1670,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h04m21.23s,151.0884754,+50d23m10.25s,50.3861806,21.7912000,11.6720000,7.1990000,10.6123000,2024-05-08,2024-01,2024-05-08
TOI-1386 b,TOI-1386,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HILL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240203498H/abstract target=ref>Hill et al. 2024</a>,25.83839000,0.173200,6.053,0.540,47.03860,0.14800,Mass,0.061000,34.68,676,0,<a refstr=HILL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240203498H/abstract target=ref>Hill et al. 2024</a>,G5V,5793.00,1.01,1.04,0.164,[Fe/H],4.44,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m00.98s,334.5041029,+54d19m08.56s,54.3190454,146.8580000,10.6100000,9.0860000,10.5069000,2024-02-16,2024-02,2024-02-16
TOI-1386 c,TOI-1386,1,1,2,Radial Velocity,2024,W. M. Keck Observatory,Published Confirmed,0,<a refstr=HILL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240203498H/abstract target=ref>Hill et al. 2024</a>,227.60000000,0.739000,,,98.20898,0.30900,Msini,0.270000,1.77,327,0,<a refstr=HILL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240203498H/abstract target=ref>Hill et al. 2024</a>,G5V,5793.00,1.01,1.04,0.164,[Fe/H],4.44,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m00.98s,334.5041029,+54d19m08.56s,54.3190454,146.8580000,10.6100000,9.0860000,10.5069000,2024-02-16,2024-02,2024-02-16
TOI-1448 b,TOI-1448,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,8.11224500,0.056700,2.749,0.245,19.50000,0.06135,Mass,0.360000,5.45,426,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,,3412.00,0.38,0.37,0.370,[Fe/H],4.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h05m17.76s,316.3240030,+57d46m15.94s,57.7710946,73.3345000,15.6780000,10.7650000,14.4005000,2024-06-10,2024-06,2024-06-13
