target,ra,dec,target_type,start_utc,end_utc
B0329+54,0.9293151046348138,0.952577919495493,psr,2024-07-02 08:00:00.000,2024-07-02 08:15:00.000
TOI-1634,0.9842018047267225,0.647731484158029,planet,2024-07-02 08:16:00.000,2024-07-02 09:36:00.000
TOI-1685,1.1971903250629128,0.7511380395858541,planet,2024-07-02 09:37:00.000,2024-07-02 10:57:00.000
TOI-1694,1.7060368360584233,1.1582108868044618,planet,2024-07-02 10:58:00.000,2024-07-02 12:18:00.000
TOI-1728,2.1050709096725138,1.1309236675138505,planet,2024-07-02 12:19:00.000,2024-07-02 13:39:00.000
TOI-3785,2.284639931814028,1.1009201259858488,planet,2024-07-02 13:40:00.000,2024-07-02 15:00:00.000
TOI-1235,2.656709729644992,1.2091051206342711,planet,2024-07-02 15:01:00.000,2024-07-02 16:21:00.000
TOI-2068,3.2510869314112085,1.0544990575824997,planet,2024-07-02 16:22:00.000,2024-07-02 17:42:00.000
TOI-1266,3.4556922862842194,1.149014776646301,planet,2024-07-02 17:43:00.000,2024-07-02 19:03:00.000
TOI-2076,3.794206445002864,0.6944734749775884,planet,2024-07-02 19:04:00.000,2024-07-02 20:24:00.000
TOI-1411,4.065675499655459,0.8212742910541225,planet,2024-07-02 20:25:00.000,2024-07-02 21:45:00.000
TOI-2081,4.612944716803303,0.925470724905535,planet,2024-07-02 21:46:00.000,2024-07-02 23:06:00.000
TOI-1450 A,5.006547866837255,1.0312561571225116,planet,2024-07-02 23:07:00.000,2024-07-03 00:27:00.000
TOI-1680,5.101841383155562,1.1514600614681616,planet,2024-07-03 00:28:00.000,2024-07-03 01:48:00.000
GJ 806,5.432681130185652,0.7766756204065481,planet,2024-07-03 01:49:00.000,2024-07-03 03:09:00.000
TOI-2285,5.804323934960444,1.0246146208133124,planet,2024-07-03 03:10:00.000,2024-07-03 04:30:00.000
TOI-3629,6.279579196890908,0.6861632031906189,planet,2024-07-03 04:31:00.000,2024-07-03 05:51:00.000
TOI-2120,0.4102800450534508,1.143434791476067,planet,2024-07-03 05:52:00.000,2024-07-03 07:12:00.000
TOI-1736,0.758074362005715,1.2060459878065208,planet,2024-07-03 07:13:00.000,2024-07-03 08:33:00.000
TOI-1696,1.1393622454354513,0.8520667947078544,planet,2024-07-03 08:34:00.000,2024-07-03 09:54:00.000
TOI-3757,1.5883131894421854,0.960279793164125,planet,2024-07-03 09:55:00.000,2024-07-03 11:15:00.000
HD 77946,2.387220230920667,0.8145874878854437,planet,2024-07-03 11:16:00.000,2024-07-03 12:36:00.000
TOI-1260,2.7426814424283967,1.1493725918322404,planet,2024-07-03 12:37:00.000,2024-07-03 13:57:00.000
TOI-1136,3.3542592444547945,1.1319380947630118,planet,2024-07-03 13:58:00.000,2024-07-03 14:59:00.000
TOI-1807,3.5130445490150146,0.679323458564917,planet,2024-07-03 15:19:00.000,2024-07-03 14:59:00.000
