Name,Start Date,Start UTC,End Date,End UTC,RA,DEC
J0139+5621,2024-06-25,07:00:00,2024-06-25,08:00:00,01:39:38,+56:21:36.8
TOI-3688 A b,2024-06-26,08:01:00,2024-06-26,09:01:00,02h37m07.76s,+54d51m04.37s
B0329+54,2024-06-27,09:02:00,2024-06-27,10:02:00,03:32:59,+54:34:43.3
HAT-P-58 b,2024-06-28,10:03:00,2024-06-28,11:03:00,04h35m23.16s,+56d52m05.77s
J0518+5416,2024-06-29,11:04:00,2024-06-29,12:04:00,05:18:53,+54:16:50.0
6 Lyn b,2024-06-30,12:05:00,2024-06-30,13:05:00,06h30m47.05s,+58d09m40.23s
J0750+57,2024-07-01,13:06:00,2024-07-01,14:06:00,07:50:00,+57:00
J0854+5449,2024-07-02,14:07:00,2024-07-02,15:07:00,08:54:26,+54:49:28.7
HAT-P-66 b,2024-07-03,15:08:00,2024-07-03,16:08:00,10h02m17.43s,+53d57m02.97s
J1048+5349,2024-07-04,16:09:00,2024-07-04,17:09:00,10:48:06,+53:49:51.9
HD 102956 b,2024-07-05,17:10:00,2024-07-05,18:10:00,11h51m22.49s,+57d38m26.37s
J1252+53,2024-07-06,18:11:00,2024-07-06,19:11:00,12:52:00,+53:42
TOI-1273 b,2024-07-07,19:12:00,2024-07-07,20:12:00,14h16m29.01s,+58d23m24.91s
B1508+55,2024-07-08,20:13:00,2024-07-08,21:13:00,09:25.6,+55:31:32.3
GJ 625 b,2024-07-09,21:14:00,2024-07-09,22:14:00,16h25m25.39s,+54d18m12.10s
"HD 158259 b,c,d,e,f",2024-07-10,22:15:00,2024-07-10,23:15:00,17h25m23.90s,+52d47m25.70s
TOI-2180 b,2024-07-11,23:16:00,2024-07-11,00:16:00,18h31m46.47s,+56d39m02.44s
J1933+5335,2024-07-12,00:17:00,2024-07-12,01:17:00,33:01.1,+53:35:43
J2030+55,2024-07-13,01:18:00,2024-07-13,02:18:00,20:30,55
J2123+5434,2024-07-14,02:19:00,2024-07-14,03:19:00,23:21.6,+54:34:07.7
"TOI-1386 b,c",2024-07-15,03:20:00,2024-07-15,04:20:00,22h18m00.98s,+54d19m08.56s
B2306+55,2024-07-16,04:21:00,2024-07-16,05:21:00,08:13.8,+55:47:36.0
J0012+5431,2024-07-17,05:22:00,2024-07-17,06:22:00,00:12:23,+54:31:40
J0103+54,2024-07-18,06:23:00,2024-07-18,07:23:00,01:03:37,+54:02
J0209+5759,2024-07-19,07:24:00,2024-07-19,08:24:00,02:09:37,+57:59:45.3
J0324+5239,2024-07-20,08:25:00,2024-07-20,09:25:00,03:24:55,+52:39:31.3
XO-3 b,2024-07-21,09:26:00,2024-07-21,10:26:00,04h21m52.70s,+57d49m01.95s
B0450+55,2024-07-22,10:27:00,2024-07-22,11:27:00,04:54:08,+55:43:41.4
TOI-3757 b,2024-07-23,11:28:00,2024-07-23,12:28:00,06h04m00.87s,+55d01m11.93s
XO-4 b,2024-07-24,12:29:00,2024-07-24,13:29:00,07h21m33.13s,+58d16m05.19s
