# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jun 18 01:13:11 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and disc_facility like '%TESS%'
# CONSTRAINT:  and pl_controv_flag = 0
# CONSTRAINT:  and decstr in [+37, +73])
# CONSTRAINT:  order by disc_year desc, sy_pnum asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
TOI-4495.01,TOI-4495,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,5.18300430,,,0,0.061733,,,0,3.630,0.208,-0.208,0,,,,,,,,,,,,,,346.63,,,0,1383,,,0,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,6156.00,,,0,1.34,,,0,1.17,,,0,,,,,,4.25,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h05m27.00s,286.3624951,+37d01m33.56s,37.0259902,132.2140000,0.4960000,-0.4930000
TOI-1410.01,TOI-1410,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,1.21683500,,,0,0.019944,,,0,2.944,0.219,-0.219,0,,,,,,,,,,,,,,565.54,,,0,1396,,,0,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,4634.60,,,0,0.78,,,0,0.72,,,0,,,,,,4.51,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h19m31.88s,334.8828486,+42d33m37.13s,42.5603141,72.7512000,0.1607000,-0.1601000
TOI-1798.02,TOI-1798,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,0.43781090,,,0,0.010740,,,0,1.408,0.110,-0.110,0,,,,,,,,,,,,,,3575.67,,,0,2122,,,0,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,,5165.20,,,0,0.78,,,0,0.86,,,0,,,,,,4.59,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h04m22.54s,211.0939367,+46d31m09.42s,46.5192825,113.1810000,0.3090000,-0.3080000
HD 77946 b,HD 77946,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=PALETHORPE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.tmp..733P/abstract target=ref>Palethorpe et al. 2024</a>,6.52728200,0.00001500,-0.00002000,0,0.072000,0.001200,-0.001200,0,2.705,0.086,-0.081,0,8.38000,1.32000,-1.32000,0,0.02637,0.00415,-0.00415,0,Mass,0.233000,0.064000,-0.079000,0,,,,,,,,,0,<a refstr=PALETHORPE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.tmp..733P/abstract target=ref>Palethorpe et al. 2024</a>,F5,6046.00,50.00,-50.00,0,1.31,0.01,-0.01,0,1.17,0.06,-0.05,0,0.180,0.050,-0.050,0,[M/H],4.30,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h07m06.63s,136.7776440,+46d40m20.73s,46.6724251,99.4510000,0.3632000,-0.3607000
TOI-1467 b,TOI-1467,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,5.97114300,0.00000600,-0.00000600,0,0.051000,0.000900,-0.000900,0,1.833,0.159,-0.156,0,,,,,,,,,,,,,,16.27,1.21,-1.21,0,559,16,-16,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3810.00,73.00,-78.00,0,0.47,0.02,-0.02,0,0.50,0.03,-0.03,0,-0.100,0.270,-0.240,0,[Fe/H],4.79,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h16m27.51s,19.1146441,+49d13m59.30s,49.2331382,37.4418000,0.0546500,-0.0546500
TOI-6008 b,TOI-6008,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=BARKAOUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240506350B/abstract target=ref>Barkaoui et al. 2024</a>,0.85743470,0.00004240,-0.00004240,0,0.010777,0.000162,-0.000162,0,1.030,0.050,-0.050,0,4.00000,,,1,0.01259,,,1,Mass,,,,,41.50,4.50,-4.50,0,707,19,-19,0,0,<a refstr=BARKAOUI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240506350B/abstract target=ref>Barkaoui et al. 2024</a>,M5.0,3075.00,75.00,-75.00,0,0.24,0.01,-0.01,0,0.23,0.01,-0.01,0,0.300,,,1,[Fe/H],5.01,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h41m47.70s,310.4487344,+49d38m48.84s,49.6468992,23.1008000,0.0293000,-0.0291000
TOI-1448 b,TOI-1448,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,8.11224500,0.00001800,-0.00001800,0,0.056700,0.001500,-0.001500,0,2.749,0.067,-0.063,0,19.50000,,,1,0.06135,,,1,Mass,0.360000,,,1,5.45,0.29,-0.27,0,426,6,-6,0,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,,3412.00,28.00,-32.00,0,0.38,0.01,-0.01,0,0.37,0.01,-0.01,0,0.370,0.140,-0.140,0,[Fe/H],4.85,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h05m17.76s,316.3240030,+57d46m15.94s,57.7710946,73.3345000,0.1733000,-0.1724000
TOI-1273 b,TOI-1273,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,4.63129600,0.00000300,-0.00000300,0,0.054900,0.001000,-0.001000,0,11.097,2.466,-2.466,0,70.55791,4.76743,-4.76743,0,0.22200,0.01500,-0.01500,0,Mass,0.055000,0.032000,-0.032000,0,,,,,1211,15,-15,0,0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,,5690.00,40.00,-40.00,0,1.06,0.02,-0.02,0,1.06,0.06,-0.06,0,0.070,0.040,-0.040,0,[Fe/H],4.37,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h16m29.01s,214.1208564,+58d23m24.91s,58.3902534,177.1180000,1.2220000,-1.2060000
TOI-2068 b,TOI-2068,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,7.76891500,0.00002500,-0.00003700,0,0.063200,0.001100,-0.001100,0,1.821,0.162,-0.149,0,,,,,,,,,,,,,,12.23,0.73,-0.73,0,521,14,-14,0,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231100688M/abstract target=ref>Mistry et al. 2023</a>,,3710.00,57.00,-58.00,0,0.54,0.02,-0.02,0,0.56,0.03,-0.03,0,0.270,0.150,-0.200,0,[Fe/H],4.73,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m05.65s,186.2735600,+60d25m06.04s,60.4183455,52.9328000,0.0586000,-0.0586000
TOI-1199 b,TOI-1199,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,3.67146300,0.00000300,-0.00000300,0,0.049880,0.000910,-0.000910,0,10.514,0.280,-0.280,0,75.96099,6.35657,-6.35657,0,0.23900,0.02000,-0.02000,0,Mass,0.030000,0.029000,-0.029000,0,,,,,1486,20,-20,0,0,<a refstr=SERRANO_BELL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240207861S/abstract target=ref>Serrano Bell et al. 2024</a>,,5710.00,40.00,-40.00,0,1.45,0.03,-0.03,0,1.23,0.07,-0.07,0,0.440,0.040,-0.040,0,[Fe/H],4.19,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m31.36s,166.8806581,+61d21m09.26s,61.3525723,248.4270000,1.7920000,-1.7670000
