start - stop : name coords
2024-08-08 00:00:00.000 - 2024-08-08 00:30:00.000 : B2148+52 [5.718698550478506, 0.9214832111121509, 'J2000']
2024-08-08 00:31:00.000 - 2024-08-08 01:51:00.000 : TOI-1386 [5.838197957034913, 0.9480461887702802, 'J2000']
2024-08-08 01:52:00.000 - 2024-08-08 03:12:00.000 : B2306+55 [6.057297668625367 deg, 0.9737775127734739 deg, 'J2000']
2024-08-08 03:13:00.000 - 2024-08-08 04:33:00.000 : B2319+60 [6.117030874630419 deg, 1.0543278521025512 deg, 'J2000']
2024-08-08 04:34:00.000 - 2024-08-08 05:54:00.000 : TOI-1470 [0.1760887657998675, 1.0683751459568358, 'J2000']
2024-08-08 05:55:00.000 - 2024-08-08 07:15:00.000 : B0114+58 [0.33878737288554633 deg, 1.0340028925981761 deg, 'J2000']
2024-08-08 07:16:00.000 - 2024-08-08 08:36:00.000 : J0139+5621 [0.43477315220013407 deg, 0.983671444933453 deg, 'J2000']
2024-08-08 08:37:00.000 - 2024-08-08 09:57:00.000 : B0136+57 [0.4334045304505671 deg, 1.0165176639432234 deg, 'J2000']
2024-08-08 09:58:00.000 - 2024-08-08 11:18:00.000 : TOI-3688 A [0.685606120273321, 0.95733430395996, 'J2000']
2024-08-08 11:19:00.000 - 2024-08-08 12:39:00.000 : B0329+54 [0.9293448915873813 deg, 0.9525780600914605 deg, 'J2000']
2024-08-08 12:40:00.000 - 2024-08-08 14:00:00.000 : J0341+5711 [0.964294411726867 deg, 0.9980374439320907 deg, 'J2000']
2024-08-08 14:01:00.000 - 2024-08-08 15:21:00.000 : B0355+54 [1.042377809922805 deg, 0.9463261695073966 deg, 'J2000']
2024-08-08 15:22:00.000 - 2024-08-08 16:42:00.000 : B0353+52 [1.0373684604423985 deg, 0.9183219204786977 deg, 'J2000']
2024-08-08 16:43:00.000 - 2024-08-08 18:03:00.000 : B0450+55 [1.2833806397533531 deg, 0.9726401738145487 deg, 'J2000']
2024-08-08 18:04:00.000 - 2024-08-08 19:24:00.000 : J0417+61 [1.1213740444063565 deg, 1.0669779493858669 deg, 'J2000']
2024-08-08 19:25:00.000 - 2024-08-08 20:45:00.000 : TOI-3757 [1.5883131894421851, 0.960279793164125, 'J2000']
