NUMBER,NAME,RAJ,DECJ,R_LUM
1,J0002+6216,00:02:58,+62:16:09.4,*
2,J0012+5431,00:12:23,+54:31:40,*
3,B0011+47,00:14:18,+47:46:33.4,4.42E+01
4,J0026+6320,00:26:51,+63:20:00.8,*
5,J0032+6946,00:32:41,+69:46:28.0,*
6,J0033+57,00:33:00,57,*
7,J0033+61,00:33:00,61,*
8,J0034+69,00:34:00,+69:43,2.35E+01
9,B0037+56,00:40:32,+57:16:24.8,4.39E+01
10,J0054+66,00:54:00,66,*
11,J0054+69,00:54:28,+69:26,*
12,J0054+6946,00:54:59,+69:46:16.8,*
13,B0052+51,00:55:45,+51:17:24.6,2.67E+01
14,B0053+47,00:56:26,+47:56:10.5,3.78E+00
15,J0058+4950,00:58:10,+49:50:26.0,*
16,J0058+6125,00:58:00,+61:25,*
17,J0059+69,00:59:30,+69:55,*
18,J0102+4839,01:02:51,+48:39:42.7,2.67E+00
19,B0059+65,01:02:33,+65:37:13.4,5.31E+01
20,J0103+54,01:03:37,+54:02,*
21,J0104+64,01:04:00,64,*
22,J0106+4855,01:06:25,+48:55:51.8,*
23,B0105+65,01:08:23,+66:08:34.4,4.58E+01
24,B0105+68,01:08:29,+69:05:52.6,1.45E+01
25,J0111+6624,01:11:22,+66:24:10.8,*
26,J0115+6325,01:15:46,+63:25:50.8,*
27,B0114+58,01:17:39,+59:14:38.3,2.38E+01
28,J0121+53,01:21:00,+53:29,*
29,J0125+62,01:26:00,+62:35,1.96E+01
30,J0137+6349,01:37:13,+63:49:34.3,*
31,J0139+5621,01:39:38,+56:21:36.8,4.07E+00
32,B0136+57,01:39:20,+58:14:31.8,1.89E+02
33,B0138+59,01:41:40,+60:09:32.3,2.59E+02
34,J0141+63,01:41:00,+63:08,1.00E+02
35,J0141+6303,01:41:46,+63:03:49.4,*
36,J0146+6145,01:46:22,+61:45:02.8,*
37,B0144+59,01:47:45,+59:22:03.2,2.38E+01
38,B0153+39,01:56:55,+39:49:29,9.68E+01
39,B0154+61,01:57:50,+62:12:26.6,2.15E+01
40,J0201+7005,02:01:41,+70:05:18.1,*
41,J0205+6449,02:05:38,+64:49:41.3,*
42,J0209+4331,02:09:54,+43:31:05.9,*
43,J0209+5759,02:09:37,+57:59:45.3,*
44,J0210+5845,02:10:55,+58:45:04,*
45,J0211+4235,02:11:07,+42:35:24.4,*
46,J0212+5222,02:12:52,+52:22:49.5,9.95E+00
47,J0214+5222,02:14:55,+52:22:40.9,1.21E+00
48,J0215+6218,02:15:57,+62:18:33.3,5.82E+01
49,J0218+4232,02:18:06,+42:32:17.3,4.66E+02
50,B0226+70,02:31:14,+70:26:33.8,7.39E+00
51,J0242+62,02:42:35,+62:56:50,*
52,J0243+6027,02:43:00,+60:27,*
53,J0248+4230,02:48:31,+42:30:20.4,*
54,J0248+6021,02:48:19,+60:21:34.7,*
55,J0250+5854,02:50:18,+58:54:01.3,*
56,B0320+39,03:23:27,+39:44:52.4,3.00E+01
57,J0324+5239,03:24:55,+52:39:31.3,*
58,J0325+6744,03:25:05,+67:44:59.3,*
59,B0329+54,03:32:59,+54:34:43.3,4.23E+03
60,B0331+45,03:35:17,+45:55:53.4,3.48E+01
61,J0335+6623,03:35:57,+66:23:23.6,3.82E+01
62,J0340+4130,03:40:23,+41:30:45.2,5.14E+00
63,J0341+5711,03:41:00,+57:11,1.51E+03
64,B0339+53,03:43:13,+53:12:53.4,1.08E+01
65,B0353+52,03:57:45,+52:36:57.4,1.01E+02
66,J0358+4155,03:58:03,+41:55:19.0,*
