target,ra,dec,target_type,start_utc,end_utc
TOI-2120,0.4102800450534508,1.143434791476067,planet,2024-07-02 08:00:00.000,2024-07-02 09:20:00.000
TOI-1685,1.1971903250629128,0.7511380395858541,planet,2024-07-02 09:21:00.000,2024-07-02 10:41:00.000
TOI-3757,1.5883131894421854,0.960279793164125,planet,2024-07-02 10:42:00.000,2024-07-02 12:02:00.000
TOI-1728,2.1050709096725138,1.1309236675138505,planet,2024-07-02 12:03:00.000,2024-07-02 13:23:00.000
TOI-3785,2.284639931814028,1.1009201259858488,planet,2024-07-02 13:24:00.000,2024-07-02 14:44:00.000
TOI-1235,2.656709729644992,1.2091051206342711,planet,2024-07-02 14:45:00.000,2024-07-02 16:05:00.000
TOI-2068,3.2510869314112085,1.0544990575824997,planet,2024-07-02 16:06:00.000,2024-07-02 17:26:00.000
TOI-1266,3.4556922862842194,1.149014776646301,planet,2024-07-02 17:27:00.000,2024-07-02 18:47:00.000
TOI-1411,4.065675499655459,0.8212742910541225,planet,2024-07-02 18:48:00.000,2024-07-02 20:08:00.000
TOI-2048,4.15255903003597,0.9129172993982378,planet,2024-07-02 20:09:00.000,2024-07-02 21:29:00.000
TOI-2081,4.612944716803303,0.925470724905535,planet,2024-07-02 21:30:00.000,2024-07-02 22:50:00.000
WD 1856+534,4.963989973032123,0.9339086553099832,planet,2024-07-02 22:51:00.000,2024-07-03 00:11:00.000
HD 235088,5.246729445950911,0.9316121057016485,planet,2024-07-03 00:12:00.000,2024-07-03 01:32:00.000
TOI-1431,5.518795535852712,0.9701940103163726,planet,2024-07-03 01:33:00.000,2024-07-03 02:53:00.000
TOI-2285,5.804323934960444,1.0246146208133124,planet,2024-07-03 02:54:00.000,2024-07-03 04:14:00.000
GJ 806,5.432681130185652,0.7766756204065481,planet,2024-07-03 04:15:00.000,2024-07-03 05:35:00.000
TOI-1467,0.33361347489190823,0.8592803626793946,planet,2024-07-03 05:36:00.000,2024-07-03 06:56:00.000
TOI-3688 A,0.685606120273321,0.9573343039599599,planet,2024-07-03 06:57:00.000,2024-07-03 08:17:00.000
TOI-1696,1.1393622454354513,0.8520667947078544,planet,2024-07-03 08:18:00.000,2024-07-03 09:38:00.000
TOI-1634,0.9842018047267225,0.647731484158029,planet,2024-07-03 09:39:00.000,2024-07-03 10:59:00.000
TOI-1694,1.7060368360584233,1.1582108868044618,planet,2024-07-03 11:00:00.000,2024-07-03 12:20:00.000
HD 77946,2.387220230920667,0.8145874878854437,planet,2024-07-03 12:21:00.000,2024-07-03 13:41:00.000
TOI-1260,2.7426814424283967,1.1493725918322404,planet,2024-07-03 13:42:00.000,2024-07-03 14:59:00.000
